"","or_lon","or_lat","dest_lon","dest_lat"
"1",114.04916,22.52568,114.03709,22.5234
"2",113.83075,22.65009,113.9186,22.52726
"3",114.09911,22.57256,114.10113,22.60015
"4",113.93035,22.52823,113.92387,22.5146
"5",113.94903,22.54334,113.99317,22.53121
"6",113.96256,22.53368,113.90742,22.54417
"7",113.88924,22.48252,113.88133,22.48437
"8",113.9228,22.53676,113.91001,22.54016
"9",114.12241,22.57924,114.04572,22.64124
"10",114.05907,22.63692,114.05371,22.60755
"11",114.1019,22.54377,114.12677,22.54972
"12",114.05401,22.60801,114.05401,22.60801
"13",114.08406,22.54983,114.08504,22.55434
"14",114.08416,22.54921,114.08836,22.56458
"15",114.11201,22.53795,114.12873,22.54341
"16",114.11137,22.55866,114.11147,22.56027
"17",114.09457,22.56525,114.12466,22.57685
"18",114.05418,22.56743,114.10202,22.57263
"19",114.05111,22.55121,114.04922,22.56152
"20",114.01225,22.54302,114.03762,22.56351
"21",114.11351,22.54618,114.10175,22.57197
"22",114.09145,22.54338,113.96468,22.5517
"23",114.05122,22.53598,114.05222,22.53824
"24",113.92493,22.54411,113.92732,22.50716
"25",114.08391,22.54732,114.06863,22.57125
"26",114.05988,22.52599,114.12208,22.5519
"27",113.99443,22.53506,113.99443,22.53506
"28",113.99443,22.53506,113.99443,22.53506
"29",113.99443,22.53506,113.99443,22.53506
"30",114.13116,22.55071,114.11812,22.54122
"31",114.04577,22.62907,114.04552,22.63005
"32",114.13502,22.54762,114.1338,22.57217
"33",114.10126,22.55533,114.1078,22.54772
"34",113.91891,22.50813,113.96461,22.52271
"35",114.06287,22.53119,114.062,22.52932
"36",114.04794,22.5351,114.06236,22.53542
"37",113.92776,22.51974,113.92805,22.52136
"38",113.92322,22.52982,113.92713,22.55004
"39",114.03161,22.52668,114.05701,22.52818
"40",114.05701,22.52612,114.06313,22.53373
"41",114.08157,22.54329,114.08404,22.53909
"42",114.04878,22.52112,114.05137,22.52206
"43",114.06889,22.5302,114.06136,22.51946
"44",113.94482,22.54171,113.96691,22.56252
"45",114.04786,22.53935,114.05642,22.52304
"46",114.03493,22.54822,114.02443,22.53197
"47",114.04952,22.57106,114.08405,22.54911
"48",114.125,22.54515,114.11867,22.55387
