"","taxi_no","avg_fare_per_trip","total_fare"
"805","B74M33",3.12,12.48
"806","B24U15",2.86285714285714,40.08
"807","B36U31",2.58,10.32
"808","BGD249",2.72,24.48
"809","BBV393",2.89846153846154,37.68
"810","B04N45",2.72,24.48
"811","BKX146",3.12,9.36
"812","BGC206",2.78769230769231,36.24
"813","B02X07",2.64,23.76
"814","B38G06",2.72727272727273,30
"815","BLA058",2.76,16.56
"816","B42U36",2.688,13.44
"817","BGS882",2.76,27.6
"818","BGG632",2.72727272727273,30
"819","BFZ677",2.72727272727273,30
"820","B79V20",2.56,23.04
"821","BGS890",2.688,26.88
"822","BKP540",2.72,24.48
"823","BKQ059",2.76,16.56
"824","B11U41",2.688,26.88
"825","B34G89",2.64,31.68
"826","B42X63",2.688,26.88
"827","B57K65",2.81142857142857,19.68
"828","BJC539",2.66181818181818,29.28
"829","B04F47",2.64,23.76
"830","B55X73",2.60571428571429,18.24
"831","B18K62",2.70857142857143,18.96
"832","BBT353",2.76,44.16
"833","B18K43",2.66181818181818,29.28
"834","B60S02",2.76,16.56
"835","B67U85",2.72727272727273,30
"836","BQH942",2.73882352941176,46.56
"837","B56L55",2.70857142857143,18.96
"838","B72E90",2.89846153846154,37.68
"839","BFE192",2.76,38.64
"840","B76E76",2.688,13.44
"841","B749C1",2.8,25.2
"842","BGS586",2.688,13.44
"843","B51L08",2.832,42.48
"844","BTV410",2.736,41.04
"845","BKZ142",3.12,12.48
"846","B33A66",12.6769230769231,164.8
"847","B81B12",2.78727272727273,30.66
"848","B61V73",2.73230769230769,35.52
"849","B784A7",2.688,26.88
"850","B78X01",3.12,3.12
"851","BBS530",13.12,78.72
"852","BBT049",2.832,28.32
"853","B19G62",2.72727272727273,30
"854","B26V83",12.7927272727273,140.72
"855","B70W97",12.7927272727273,140.72
"856","B11G50",2.58,20.64
"857","B77W03",2.76,33.12
"858","B67G39",2.62153846153846,34.08
"859","B41F11",2.76,44.16
"860","B02T88",2.688,13.44
"861","B30W79",3.01714285714286,21.12
"862","B76E59",2.76,22.08
"863","BFH435",12.784,191.76
"864","B77W25",2.88,43.2
"865","BGT482",2.82352941176471,48
"866","B40P23",12.976,64.88
"867","B70V98",2.76,16.56
"868","BQG780",2.46545454545455,27.12
"869","B75W47",2.84307692307692,36.96
"870","BGN342",12.58,100.64
"871","BBQ043",12.76,51.04
"872","B59A63",12.928,193.92
"873","B930D0",12.67,101.36
"874","B17W66",2.76,16.56
"875","B99P29",2.67692307692308,34.8
"876","BWF677",2.91428571428571,20.4
"877","BKP597",2.67692307692308,34.8
"878","B83E68",2.85,22.8
"879","B32K42",2.76,27.6
"880","B32K41",2.60571428571429,18.24
"881","B063E8",2.72727272727273,30
"882","B833E6",2.688,26.88
"883","B74B71",2.66625,21.33
"884","B87W60",2.78769230769231,36.24
"885","B12K23",2.85,45.6
"886","B24K89",2.544,25.44
"887","B07T56",2.616,26.16
"888","B32W98",2.91428571428571,20.4
"889","BFJ955",12.8114285714286,89.68
"890","B19R28",2.76,27.6
"891","B75F77",2.64,23.76
"892","B472C1",12.8984615384615,167.68
"893","B01P49",2.70857142857143,18.96
"894","B74B03",2.755,16.53
"895","B19E52",2.73882352941176,46.56
"896","B94N42",2.67692307692308,34.8
"897","B26V05",12.832,64.16
"898","BYW741",12.82,153.84
"899","BXY013",12.688,126.88
"900","B79W96",2.60571428571429,18.24
"901","B19G89",2.52,15.12
"902","B67U09",2.76,27.6
"903","B67E96",2.76,27.6
"904","B818E2",2.616,26.16
"905","B10G59",2.76,49.68
"906","B54W61",2.60571428571429,18.24
"907","BFJ948",12.904,129.04
"908","B660D0",2.64,31.68
"909","BFJ079",12.7272727272727,140
"910","BJD599",2.76,5.52
"911","B67G52",2.85818181818182,31.44
"912","B67G32",2.72,24.48
"913","B30W13",2.85818181818182,31.44
"914","B045D3",12.88,231.84
"915","BXY370",12.58,100.64
"916","B67V89",2.50285714285714,17.52
"917","BWF652",2.832,28.32
"918","B02R53",12.64,113.76
"919","B48G09",2.52,15.12
"920","B10G87",2.81142857142857,39.36
"921","B77E60",2.79272727272727,30.72
"922","B22W89",2.85,22.8
"923","B767E8",2.56615384615385,33.36
"924","B800E5",2.544,12.72
"925","B59L68",2.72,48.96
"926","B04R30",2.76,22.08
"927","B60W40",12.76,51.04
"928","B81E60",2.8,25.2
"929","B04G78",2.60571428571429,18.24
"930","BBY637",2.7,32.4
"931","BQG696",2.904,29.04
"932","BGS678",2.8,25.2
"933","B53A10",12.832,64.16
"934","BGS517",2.79272727272727,30.72
"935","B62U09",2.58,30.96
"936","B05P85",2.91428571428571,40.8
"937","BBU839",2.98909090909091,32.88
"938","BBS140",2.72,24.48
"939","B61U79",2.76,16.56
"940","B46W86",2.82,33.84
"941","BKZ541",2.76,27.6
"942","B64V65",12.85,102.8
"943","B23P96",12.616,126.16
"944","BBQ036",13.12,52.48
"945","B83B60",2.9325,11.73
"946","BQG549",2.82,33.84
"947","B29R85",12.4654545454545,137.12
"948","B53F55",2.94,23.52
"949","BKX223",2.544,12.72
"950","B70A35",3,36
"951","B53F11",2.70857142857143,18.96
"952","B32K07",2.688,40.32
"953","BWF710",2.688,26.88
"954","BFH829",12.8,115.2
"955","B748E2",2.616,26.16
"956","B422D0",2.72,24.48
"957","B48W90",2.64,23.76
"958","B79A15",2.66181818181818,29.28
"959","B50A43",12.7085714285714,88.96
"960","BKP571",2.58,20.64
"961","B18F56",2.76,33.12
"962","B43V08",2.72727272727273,30
"963","B07T72",2.58,20.64
"964","B83W72",2.67692307692308,34.8
"965","B70A38",2.72727272727273,30
"966","B43V37",2.70857142857143,18.96
"967","B89B65",2.78727272727273,30.66
"968","B89B72",2.70428571428571,18.93
"969","B41A57",12.67,101.36
"970","B13F47",2.76,16.56
"971","BFH846",12.616,126.16
"972","B566E9",2.64,23.76
"973","BJE015",2.72,24.48
"974","B31W01",2.72,24.48
"975","B62S98",3,18
"976","BHE247",4.69625,75.14
"977","BPL979",2.85818181818182,31.44
"978","BBQ142",12.976,64.88
"979","BKX143",2.616,26.16
"980","BGS822",2.67,21.36
"981","B75F36",2.70857142857143,37.92
"982","BFZ881",2.91428571428571,20.4
"983","B12U46",2.976,14.88
"984","B51A17",12.7927272727273,140.72
"985","BWG956",2.76,22.08
"986","BGA098",2.688,26.88
"987","B40F31",2.76,16.56
"988","B51E67",12.64,75.84
"989","B79X71",3,18
"990","B74A92",2.64,31.68
"991","B41V77",2.85,22.8
"992","BBY585",2.928,43.92
"993","B35W16",2.94,11.76
"994","BLA051",2.72,24.48
"995","B54W85",2.72,24.48
"996","BWG056",2.58,10.32
"997","B76F43",2.82,33.84
"998","B51A88",12.8,115.2
"999","B14W99",2.85,22.8
"1000","B06P02",2.832,28.32
"1001","B44E21",12.76,102.08
"1002","B32K26",2.52,15.12
"1003","B47U09",2.70857142857143,18.96
"1004","B86W73",2.616,26.16
"1005","B62U51",2.688,13.44
"1006","BLS850",2.94,23.52
"1007","B546A2",12.67,101.36
"1008","B95N43",2.616,26.16
"1009","B87W02",2.89846153846154,37.68
"1010","B836E0",2.616,26.16
"1011","B546E9",2.81142857142857,19.68
"1012","BGU479",2.472,24.72
"1013","B46Z02",2.65411764705882,45.12
"1014","BKY441",2.81142857142857,19.68
"1015","B90F12",2.78117647058824,47.28
"1016","BKQ066",2.472,24.72
"1017","BKZ417",2.73230769230769,35.52
"1018","B86W43",2.72727272727273,30
"1019","B06P76",2.976,29.76
"1020","B18K20",2.67692307692308,34.8
"1021","B81E59",2.46545454545455,27.12
"1022","B71W31",12.8,115.2
"1023","BFJ123",12.6057142857143,88.24
"1024","BJE822",2.58,20.64
"1025","B18K25",2.76,33.12
"1026","B40P39",12.688,126.88
"1027","B16S48",2.58,20.64
"1028","B53E35",12.9142857142857,90.4
"1029","B27F36",2.544,12.72
"1030","BJC815",2.688,26.88
"1031","B995C7",2.58,20.64
"1032","BKN741",2.58,20.64
"1033","B74W23",2.58,20.64
"1034","B13K81",2.8,25.2
"1035","B13K06",2.79272727272727,30.72
"1036","B19K27",2.76,33.12
"1037","B795C5",2.67,21.36
"1038","BGD739",2.86285714285714,40.08
"1039","B18F05",2.85,22.8
"1040","B68U23",2.81142857142857,19.68
"1041","B79W69",2.85818181818182,31.44
"1042","B501E7",2.76,22.08
"1043","B22F17",2.81142857142857,19.68
"1044","BLA042",2.94,23.52
"1045","BGC171",3.12,3.12
"1046","B574C1",2.76,5.52
"1047","B71A65",2.73230769230769,35.52
"1048","B50L67",2.76,33.12
"1049","BLS497",2.688,13.44
"1050","BHA112",2.832,14.16
"1051","B06P48",2.66181818181818,29.28
"1052","B79E46",2.78769230769231,36.24
"1053","B37K07",2.7,32.4
"1054","BGG685",2.76,27.6
"1055","B79A49",2.81142857142857,19.68
"1056","B79W33",2.64,15.84
"1057","BHC955",12.64,113.76
"1058","B17F85",2.616,26.16
"1059","B53A91",12.94,103.52
"1060","BGR695",2.72727272727273,30
"1061","B72E12",2.688,13.44
"1062","B86R95",2.715,43.44
"1063","B36G37",2.91428571428571,20.4
"1064","B88W38",2.66181818181818,29.28
"1065","B86R89",2.46545454545455,27.12
"1066","B83B25",2.542,12.71
"1067","B86R77",2.72727272727273,30
"1068","B88W81",2.67692307692308,34.8
"1069","B55X97",2.64,31.68
"1070","B627A3",2.56,23.04
"1071","B77E67",2.62153846153846,34.08
"1072","B07T01",2.76,16.56
"1073","B02F79",2.70857142857143,18.96
"1074","B164F3",2.76,27.6
"1075","B68U05",2.82,33.84
"1076","B94Q20",2.832,28.32
"1077","B50L53",2.64,31.68
"1078","BFJ938",12.8430769230769,166.96
"1079","B13K25",2.616,26.16
"1080","B89W11",2.76,27.6
"1081","B70A20",2.64,31.68
"1082","BGD415",2.86285714285714,40.08
"1083","B405A7",2.88,17.28
"1084","B18F95",2.72,24.48
"1085","B516E7",2.81142857142857,19.68
"1086","B99R22",2.76,38.64
"1087","B05F59",2.64,23.76
"1088","B04X41",12.85,102.8
"1089","B53F26",2.76,27.6
"1090","B87W89",2.79272727272727,30.72
"1091","BBS342",2.76,27.6
"1092","B75B59",2.542,12.71
"1093","B76E36",2.76,16.56
"1094","B41V95",2.76,16.56
"1095","B79A87",2.688,40.32
"1096","BTW073",2.76,16.56
"1097","BFH459",12.72,114.48
"1098","B06F19",2.59636363636364,28.56
"1099","B99F18",2.70857142857143,37.92
"1100","B41F00",3.12,9.36
"1101","BKS741",2.67692307692308,34.8
"1102","BWG907",2.81142857142857,19.68
"1103","B041F9",2.76,22.08
"1104","BGC147",2.89846153846154,37.68
"1105","B67E60",2.832,28.32
"1106","B06F85",2.94,11.76
"1107","B56X15",2.60571428571429,18.24
"1108","B05F22",2.976,14.88
"1109","B52D88",12.82,153.84
"1110","B63Z07",2.64,15.84
"1111","BFH832",12.6769230769231,164.8
"1112","B67X93",2.688,13.44
"1113","B724C7",2.688,13.44
"1114","B05P73",3.03,24.24
"1115","B01E42",2.60571428571429,18.24
"1116","B33A07",13.0171428571429,91.12
"1117","B05E41",2.81142857142857,19.68
"1118","B19G87",2.65714285714286,37.2
"1119","BHA037",2.832,28.32
"1120","BWG091",2.70857142857143,37.92
"1121","B374E5",2.72,24.48
"1122","B173D0",2.76,16.56
"1123","BGD411",2.82,33.84
"1124","BLS295",2.832,14.16
"1125","B77E46",2.66181818181818,29.28
"1126","B74F51",2.78769230769231,36.24
"1127","BGC285",2.96,26.64
"1128","BKZ489",2.82352941176471,48
"1129","B48X08",2.64,23.76
"1130","BKZ553",2.688,26.88
"1131","BGA046",2.688,26.88
"1132","B78X61",2.67692307692308,34.8
"1133","B25K03",2.85,22.8
"1134","B65X18",2.48,22.32
"1135","B41E07",2.73230769230769,35.52
"1136","B70A37",2.76,27.6
"1137","B74E98",2.70857142857143,18.96
"1138","B08P19",2.88,43.2
"1139","B67G17",3.12,3.12
"1140","B566E3",2.64,15.84
"1141","B48X23",2.832,28.32
"1142","B83E39",2.7,32.4
"1143","B765A7",12.7085714285714,88.96
"1144","BTV231",2.81142857142857,19.68
"1145","BQH976",2.544,12.72
"1146","B850E9",2.62153846153846,34.08
"1147","B78A97",2.88,25.92
"1148","B53X46",2.688,13.44
"1149","B59W27",2.976,29.76
"1150","B61Z29",2.91428571428571,20.4
"1151","BGT832",2.85,22.8
"1152","B103A3",2.79272727272727,30.72
"1153","B37K19",2.49,19.92
"1154","B75E87",2.89846153846154,37.68
"1155","B10R08",2.66181818181818,29.28
"1156","B77E79",2.70857142857143,18.96
"1157","BWF622",2.88,25.92
"1158","BWG915",2.76,33.12
"1159","BGT491",2.76,49.68
"1160","B70W51",12.58,100.64
"1161","B86W97",2.78769230769231,36.24
"1162","B19R35",2.70857142857143,18.96
"1163","B61N05",12.56,113.04
"1164","B55X76",2.81142857142857,19.68
"1165","B06P12",3.12,15.6
"1166","B99D47",2.76,33.12
"1167","B09E45",2.60571428571429,18.24
"1168","B13K72",2.832,28.32
"1169","B02P40",2.60571428571429,18.24
"1170","B81W73",2.76,22.08
"1171","B68G26",2.8,25.2
"1172","BWG070",2.70857142857143,18.96
"1173","B88W43",2.96,26.64
"1174","BKX356",2.66181818181818,29.28
"1175","B04F01",2.76,22.08
"1176","B509A8",2.56615384615385,33.36
"1177","B45E42",12.64,75.84
"1178","B35P71",12.6769230769231,164.8
"1179","B826E9",2.85,22.8
"1180","B823E0",2.8,25.2
"1181","B850E3",2.67,21.36
"1182","B41F21",2.616,26.16
"1183","B78F39",2.94,11.76
"1184","BKZ626",2.736,41.04
"1185","BJE435",2.84307692307692,36.96
"1186","B26V38",12.7085714285714,177.92
"1187","B71E41",2.66181818181818,29.28
"1188","B04P57",2.84307692307692,36.96
"1189","B05P43",2.8,25.2
"1190","B565C6",2.904,29.04
"1191","B67E45",2.688,26.88
"1192","BGA052",2.76,27.6
"1193","B71W80",12.52,75.12
"1194","BFJ128",12.6618181818182,139.28
"1195","B59D89",12.94,51.76
"1196","B61Z55",2.70857142857143,18.96
"1197","B24F37",2.76,22.08
"1198","B19G13",2.82,33.84
"1199","B04R83",2.76,38.64
"1200","BWF591",2.64,7.92
"1201","B07T02",2.72,24.48
"1202","B04F25",2.8,25.2
"1203","BGG675",2.67692307692308,34.8
"1204","B53F66",2.70857142857143,18.96
"1205","BBV378",2.92363636363636,32.16
"1206","B31A45",12.832,192.48
"1207","BBP627",13.12,52.48
"1208","B87W95",2.82,33.84
"1209","B804D2",12.9538461538462,168.4
"1210","BTV648",2.76,27.6
"1211","B43V53",2.976,14.88
"1212","BKP672",2.76,11.04
"1213","B45E75",12.6057142857143,88.24
"1214","B53A65",12.8581818181818,141.44
"1215","BLS788",2.88,25.92
"1216","B26K67",2.64,31.68
"1217","B49Z77",2.72,24.48
"1218","B55L30",2.64,15.84
"1219","BGA120",2.64,15.84
"1220","B11U21",2.88,34.56
"1221","BFH801",12.7085714285714,88.96
"1222","B24F58",2.81142857142857,39.36
"1223","B51A58",12.832,128.32
"1224","BKW447",2.92363636363636,32.16
"1225","B40P29",12.5963636363636,138.56
"1226","BFZ871",2.72,24.48
"1227","B40F57",2.688,26.88
"1228","B79P82",12.72,114.48
"1229","B67W57",2.70857142857143,18.96
"1230","B11G93",2.73230769230769,35.52
"1231","B74E62",2.64,23.76
"1232","BGU826",2.52,15.12
"1233","B76F90",2.76,16.56
"1234","B11U85",2.56,23.04
"1235","B74X50",2.67,21.36
"1236","BGA012",2.76,33.12
"1237","B90F15",3.12,12.48
"1238","BNE887",2.60571428571429,18.24
"1239","BGD479",2.904,29.04
"1240","BFE229",2.76,16.56
"1241","BGC346",2.64,15.84
"1242","B67X25",2.7,32.4
"1243","BBT232",2.66181818181818,29.28
"1244","B47G09",2.58,20.64
"1245","BGC247",2.544,25.44
"1246","BBY755",2.715,43.44
"1247","B67W37",2.84307692307692,36.96
"1248","BKP643",2.65714285714286,37.2
"1249","BBV309",2.64,7.92
"1250","B35G80",2.64,31.68
"1251","B41F35",2.59636363636364,28.56
"1252","BKQ116",2.86285714285714,40.08
"1253","B741C9",2.76,22.08
"1254","B1L018",2.72727272727273,30
"1255","BGS638",2.715,43.44
"1256","B79X63",2.67,21.36
"1257","B70A52",2.64,15.84
"1258","B855D2",12.7085714285714,88.96
"1259","B19R27",2.76,38.64
"1260","B08F40",2.76,16.56
"1261","BJE363",2.66181818181818,29.28
"1262","B13K01",2.904,29.04
"1263","B86R59",2.70857142857143,37.92
"1264","B03T15",2.85,22.8
"1265","B05R59",2.79272727272727,30.72
"1266","B86R39",2.56,23.04
"1267","B08R83",2.82,33.84
"1268","B64V00",12.688,63.44
"1269","B19G19",2.49,19.92
"1270","B510E1",2.85818181818182,31.44
"1271","B32K81",2.79272727272727,30.72
"1272","B831A0",12.7876923076923,166.24
"1273","B77W97",2.72727272727273,30
"1274","B77E82",2.72,24.48
"1275","B50E01",12.94,51.76
"1276","B26A17",12.784,191.76
"1277","B87R45",2.88,25.92
"1278","B12K02",2.688,26.88
"1279","B46E99",12.6057142857143,88.24
"1280","B87W66",2.805,44.88
"1281","BWG055",2.76,11.04
"1282","B06P27",2.832,28.32
"1283","BHA390",2.70857142857143,18.96
"1284","B94M20",2.76,16.56
"1285","BKT356",2.76,27.6
"1286","BGG588",2.56,23.04
"1287","B59F65",2.58,20.64
"1288","B407A9",2.688,26.88
"1289","BGR671",2.88,25.92
"1290","B50Z70",2.67,21.36
"1291","BLS142",2.688,26.88
"1292","BGA143",2.76,16.56
"1293","B47G73",2.82,33.84
"1294","B15K16",2.64,23.76
"1295","B01T66",2.7,32.4
"1296","BBQ912",2.88,17.28
"1297","BGA099",2.60571428571429,36.48
"1298","B88W47",2.64,15.84
"1299","BGN941",12.8,115.2
"1300","B77E75",2.86285714285714,40.08
"1301","BXY366",12.7272727272727,140
"1302","B18F69",2.72727272727273,30
"1303","B05F93",2.72,24.48
"1304","B52E40",2.904,29.04
"1305","B54W26",2.76,33.12
"1306","B60N47",2.81142857142857,19.68
"1307","BGN376",13.12,91.84
"1308","B60E37",2.67,21.36
"1309","BKZ652",2.64,23.76
"1310","B828E5",2.64,15.84
"1311","B41A75",12.64,75.84
"1312","B04R11",2.85,22.8
"1313","BWG021",2.60571428571429,18.24
"1314","B439D0",12.76,76.56
"1315","B64V72",12.544,62.72
"1316","B62G35",2.58,10.32
"1317","B42U76",2.60571428571429,18.24
"1318","BGG662",2.52,15.12
"1319","B51E56",12.72,114.48
"1320","B093E1",2.544,12.72
"1321","B11G52",2.8,25.2
"1322","B44E71",2.66181818181818,29.28
"1323","BXP100",2.70857142857143,18.96
"1324","BGD378",2.64,23.76
"1325","B02X60",2.8,25.2
"1326","BGG629",2.50285714285714,17.52
"1327","B89W85",3.12,12.48
"1328","B99P68",2.7,32.4
"1329","B85E47",2.976,14.88
"1330","B44X63",2.52,15.12
"1331","B08F12",2.78117647058824,47.28
"1332","B49X88",2.7,32.4
"1333","BTV849",2.688,40.32
"1334","BKQ047",2.688,26.88
"1335","B68X07",2.72,24.48
"1336","B04R49",2.76,22.08
"1337","B07T15",2.67,21.36
"1338","B55X30",2.8,25.2
"1339","B67G35",2.73230769230769,35.52
"1340","B10G80",2.79272727272727,30.72
"1341","B140C2",2.76,16.56
"1342","B19G59",2.76,22.08
"1343","B04G71",2.805,44.88
"1344","BGC742",2.70857142857143,18.96
"1345","B53F17",2.64,31.68
"1346","BFZ516",2.62153846153846,34.08
"1347","B80B25",2.684,13.42
"1348","B30M98",2.76,27.6
"1349","B18F90",2.688,26.88
"1350","B41F13",2.89846153846154,37.68
"1351","B85R21",2.50285714285714,17.52
"1352","B34N47",2.784,41.76
"1353","B67V07",2.8,25.2
"1354","BGU887",2.688,26.88
"1355","B53F43",2.82,33.84
"1356","B55X87",2.81142857142857,19.68
"1357","BWF708",2.64,23.76
"1358","B84R07",2.76,22.08
"1359","B97G42",2.85,22.8
"1360","B50D40",12.67,101.36
"1361","B79W37",2.85818181818182,31.44
"1362","B08F67",2.70857142857143,37.92
"1363","BGD462",2.8,25.2
"1364","BJC583",2.76,33.12
"1365","B01T87",2.78769230769231,36.24
"1366","B78F51",2.472,24.72
"1367","B33A31",12.8,115.2
"1368","B06P66",2.94,11.76
"1369","B14K22",2.76,27.6
"1370","B81B23",2.63666666666667,15.82
"1371","B51L70",2.58,20.64
"1372","B07F09",2.56,23.04
"1373","B02F61",2.688,26.88
"1374","B74W49",12.88,154.56
"1375","B88W36",2.94,35.28
"1376","BWG016",2.688,26.88
"1377","B79W90",2.688,13.44
"1378","B62G59",2.832,28.32
"1379","BGC193",3.04,27.36
"1380","B62E71",2.832,14.16
"1381","BYV477",2.755,5.51
"1382","B07F18",2.58,20.64
"1383","B70A53",2.96571428571429,41.52
"1384","B49F62",2.88,17.28
"1385","B10G69",2.67,21.36
"1386","B67G48",2.89846153846154,37.68
"1387","B46D50",12.64,75.84
"1388","B74F26",3.12,24.96
"1389","B13K57",2.64,15.84
"1390","B95F41",2.76,27.6
"1391","B44F85",2.976,14.88
"1392","BGC490",2.73230769230769,35.52
"1393","BHF620",2.68,48.24
"1394","B50D29",12.688,126.88
"1395","B62U70",2.72727272727273,30
"1396","B74A02",2.8,25.2
"1397","B78F58",2.88,34.56
"1398","BGH033",2.76,22.08
"1399","B19R50",2.59636363636364,28.56
"1400","BGA121",2.76,27.6
"1401","B10U00",2.70857142857143,18.96
"1402","BFZ802",2.76,22.08
"1403","B20S63",2.688,26.88
"1404","BGD740",2.72,24.48
"1405","B83F12",2.85818181818182,31.44
"1406","B61G61",2.688,26.88
"1407","B67V88",2.64,15.84
"1408","B86B15",12.76,102.08
"1409","BFZ532",2.67692307692308,34.8
"1410","B05R91",2.64,23.76
"1411","B70A31",2.64,39.6
"1412","B77E18",2.544,25.44
"1413","B49L30",2.7,32.4
"1414","B62E83",2.88,43.2
"1415","B40P08",12.8581818181818,141.44
"1416","B11K60",2.59636363636364,28.56
"1417","B704E2",3.12,15.6
"1418","B54X17",2.90823529411765,49.44
"1419","B19K68",2.85818181818182,31.44
"1420","B25V40",2.688,13.44
"1421","BWG945",2.58,20.64
"1422","B134C7",2.73230769230769,35.52
"1423","BKZ551",2.73230769230769,35.52
"1424","B76F11",2.76,33.12
"1425","B40F59",2.70857142857143,37.92
"1426","B12F09",2.67,21.36
"1427","BLS285",2.904,29.04
"1428","BLS416",2.7,32.4
"1429","B17K17",2.76,27.6
"1430","B51L10",2.688,26.88
"1431","BGH037",2.72,24.48
"1432","B43F36",2.66181818181818,29.28
"1433","BHC976",12.784,191.76
"1434","B56X00",2.78769230769231,36.24
"1435","B30G67",2.72,24.48
"1436","BKQ913",2.56,23.04
"1437","B86R96",2.76,49.68
"1438","B13K69",2.82,33.84
"1439","BFH680",12.7,152.4
"1440","B50E72",12.76,127.6
"1441","B53F36",2.8,25.2
"1442","B29U58",2.81142857142857,19.68
"1443","B05P37",2.73230769230769,35.52
"1444","B285D7",12.7,152.4
"1445","BGT825",2.73230769230769,35.52
"1446","B53F86",2.85,22.8
"1447","B27P53",12.535,200.56
"1448","B10G95",2.64,23.76
"1449","B831E3",2.85818181818182,31.44
"1450","B745E2",2.544,12.72
"1451","BJE312",2.72,24.48
"1452","B02T00",2.79272727272727,30.72
"1453","B71A17",2.58,20.64
"1454","B63E77",2.92363636363636,32.16
"1455","B11S86",12.6057142857143,88.24
"1456","BGT896",2.73230769230769,35.52
"1457","BWG950",2.688,26.88
"1458","BQG566",2.67,21.36
"1459","B77E00",2.76,27.6
"1460","B31W02",2.59636363636364,28.56
"1461","B405E9",2.82,33.84
"1462","BBR942",2.76,11.04
"1463","B74W21",12.7085714285714,88.96
"1464","B53D61",12.7085714285714,177.92
"1465","B146A7",2.81142857142857,19.68
"1466","B62E41",2.66181818181818,29.28
"1467","B95W07",2.55428571428571,35.76
"1468","B18F89",2.832,14.16
"1469","BYV059",2.684,13.42
"1470","B67G77",2.67,21.36
"1471","B24F78",2.904,29.04
"1472","B68X39",2.616,26.16
"1473","BNE496",2.64,7.92
"1474","B59E96",12.67,101.36
"1475","BGC442",2.58,20.64
"1476","BGN727",12.88,154.56
"1477","B62U93",2.94,23.52
"1478","B13G28",2.72727272727273,30
"1479","B73A06",2.76,22.08
"1480","BTV773",2.688,40.32
"1481","BGS528",2.60571428571429,18.24
"1482","BGA051",2.67,21.36
"1483","B33W50",2.67,21.36
"1484","BBU842",2.95058823529412,50.16
"1485","B67E65",2.60571428571429,18.24
"1486","BGH036",2.60571428571429,18.24
"1487","BBS583",12.88,77.28
"1488","B79E25",2.72,24.48
"1489","B02F71",2.688,26.88
"1490","B78A79",2.96,26.64
"1491","BJC495",2.91428571428571,20.4
"1492","B12U69",2.7,32.4
"1493","B45W50",2.50285714285714,17.52
"1494","B32A43",12.7272727272727,140
"1495","B70W69",12.76,102.08
"1496","B068E5",3,18
"1497","B12F57",2.832,42.48
"1498","BGX241",2.82,33.84
"1499","B66P79",12.7085714285714,88.96
"1500","B67G18",2.64,23.76
"1501","B27A42",12.76,102.08
"1502","B75F33",2.60571428571429,18.24
"1503","BKX037",2.76,11.04
"1504","B77E02",2.76,22.08
"1505","B64U69",2.58,20.64
"1506","B773E7",2.67692307692308,34.8
"1507","B52D36",12.5309090909091,137.84
"1508","BKZ598",2.60571428571429,18.24
"1509","B853D0",12.7927272727273,140.72
"1510","B04F46",2.67692307692308,34.8
"1511","BWG943",2.76,16.56
"1512","B70W20",2.58,10.32
"1513","B35S21",2.76,27.6
"1514","B70W26",2.94,11.76
"1515","B73W57",3.01714285714286,21.12
"1516","BGC888",2.832,14.16
"1517","BHA801",2.88,8.64
"1518","BHJ431",2.88,17.28
"1519","B45W38",2.76,22.08
"1520","B52W66",3,18
"1521","BGC641",2.91428571428571,20.4
"1522","BHA459",2.49,19.92
"1523","BHJ478",2.73230769230769,35.52
"1524","BGH279",3.12,15.6
"1525","B45W17",3,18
"1526","B44P33",2.976,14.88
"1527","B43W19",2.92363636363636,32.16
"1528","BBZ002",3,18
"1529","BGC665",2.58,10.32
"1530","BGC809",2.76,22.08
"1531","B59W75",2.67,21.36
"1532","B52W53",2.94,23.52
"1533","BHN998",2.79272727272727,30.72
"1534","BHA536",3,18
"1535","B46W37",2.616,26.16
"1536","B62X43",2.84307692307692,36.96
"1537","BNE827",2.50285714285714,17.52
"1538","B73E71",2.76,33.12
"1539","BKQ136",2.82,33.84
"1540","BKQ032",2.58,30.96
"1541","B10K47",2.976,29.76
"1542","BGB392",2.72,24.48
"1543","B70A39",2.895,46.32
"1544","BKZ476",2.66181818181818,29.28
"1545","BLE985",2.81142857142857,19.68
"1546","BLS867",2.67,21.36
"1547","BGS565",2.76,16.56
"1548","BKQ141",2.58,20.64
"1549","B09T23",2.616,26.16
"1550","B35S16",2.89846153846154,37.68
"1551","B44W01",2.688,13.44
"1552","B62S93",2.64,15.84
"1553","B04N19",2.544,12.72
"1554","B77E40",2.67,21.36
"1555","B45F71",2.70857142857143,18.96
"1556","B03T43",2.82,33.84
"1557","B70W78",12.64,37.92
"1558","BHP477",12.72,114.48
"1559","B79W83",2.60571428571429,18.24
"1560","B10F42",2.92363636363636,32.16
"1561","BFZ140",2.52,15.12
"1562","BKQ065",2.94,47.04
"1563","B094D0",12.7085714285714,88.96
"1564","B853D1",12.7323076923077,165.52
"1565","B70A62",2.79272727272727,30.72
"1566","BKQ339",2.616,26.16
"1567","B02F97",2.832,28.32
"1568","B54W07",2.79272727272727,30.72
"1569","B55L87",2.85818181818182,31.44
"1570","B43F09",2.592,38.88
"1571","BKZ495",2.904,29.04
"1572","B53K05",2.82,33.84
"1573","B38G80",2.65714285714286,37.2
"1574","B34X42",12.82,153.84
"1575","BGC448",2.76,22.08
"1576","B866D5",12.76,127.6
"1577","BKZ676",2.688,13.44
"1578","B53K40",2.784,41.76
