"","taxi_no","avg_fare_per_trip","total_fare"
"184","B53L55",2.904,29.04
"185","B13K91",2.76,22.08
"186","B80F30",2.64,15.84
"187","BKP527",2.44363636363636,26.88
"188","B754D7",2.76,22.08
"189","B13G26",2.688,26.88
"190","B692D0",2.50285714285714,17.52
"191","BBV275",2.688,13.44
"192","B50E58",12.6057142857143,88.24
"193","BGN737",12.6618181818182,139.28
"194","BJE021",2.688,13.44
"195","B51F66",2.72727272727273,30
"196","B47U93",2.81142857142857,19.68
"197","B40V93",2.82,33.84
"198","B24F31",2.688,26.88
"199","B05R80",2.76,38.64
"200","B18F87",2.76,33.12
"201","B31W77",2.72,24.48
"202","B02T10",2.67,21.36
"203","B26K83",2.91428571428571,20.4
"204","B38G42",2.94,23.52
"205","B64V27",12.688,190.32
"206","BGA057",2.688,13.44
"207","B13K89",2.92363636363636,32.16
"208","B62E80",2.49,19.92
"209","BGC770",2.76,33.12
"210","B74F50",2.8,25.2
"211","BGH518",2.70857142857143,18.96
"212","B18K83",2.96,26.64
"213","BFZ870",2.832,14.16
"214","B62E07",2.67,21.36
"215","B43W30",2.73230769230769,35.52
"216","B79X62",2.832,14.16
"217","B48W43",2.81142857142857,39.36
"218","B57K39",2.72727272727273,30
"219","B32W73",2.85818181818182,31.44
"220","B27K61",2.67,21.36
"221","B59E36",12.8114285714286,89.68
"222","BJC482",2.7,32.4
"223","B70A23",2.66181818181818,29.28
"224","BGC761",2.81142857142857,39.36
"225","BBQ813",2.76,38.64
"226","B20S46",2.805,44.88
"227","BHE308",2.76,27.6
"228","BX0007",2.73230769230769,35.52
"229","B43A41",12.88,115.92
"230","BBY450",2.64,31.68
"231","B67G13",2.76,27.6
"232","B99F49",2.88,8.64
"233","B90F92",2.76,16.56
"234","B99F51",2.98909090909091,32.88
"235","B90F43",2.76,27.6
"236","B00G68",3,18
"237","B00G08",2.76,22.08
"238","B38U72",2.58,10.32
"239","B99F09",2.81142857142857,19.68
"240","B00G26",2.58,20.64
"241","B917D2",2.91428571428571,20.4
"242","B922D5",2.76,11.04
"243","B899D7",3.03,24.24
"244","B54Z67",2.64,7.92
"245","B875D3",2.91428571428571,20.4
"246","B426C1",2.58,20.64
"247","B467D7",2.688,13.44
"248","B490C1",2.688,13.44
"249","B24K70",2.832,56.64
"250","B54W73",2.81142857142857,19.68
"251","B05F88",2.688,13.44
"252","B79A05",2.73230769230769,35.52
"253","B13G92",2.58,20.64
"254","B19G01",2.805,44.88
"255","B47W99",2.94,23.52
"256","B17F98",2.78769230769231,36.24
"257","B741E6",2.48,22.32
"258","B37X17",2.78117647058824,47.28
"259","B78W37",2.81142857142857,19.68
